Fund Name,Scheme Type,Scheme Category,Plan,AUM,TER,PE,PB,Top 3 Holdings,Top 5 Holdings,Top 10 Holdings,Sharpe,Sortino,St Dev,Inception,Age in yrs,Score
Higher/lower,,,,higher,lower,lower,lower,lower,lower,lower,higher,higher,lower,higher,higher,
Weightage,,,,9,8,7,7,8,8,8,15,13,9,3,5,
Parag Parikh Flexi Cap Fund,Equity Scheme,Flexi Cap Fund,Growth,133969.8052,0.63,17.785,2.98,19.29829782,29.578202,51.10169504,0.519096407,0.0593,12.54736388,18.7588658,12.91666667,1204794.517
Parag Parikh Flexi Cap Fund,Equity Scheme,Flexi Cap Fund,IDCW,133969.8052,0.63,17.785,2.98,19.29829782,29.578202,51.10169504,-2.184332282,-0.2142,12.54736388,0,0.5,1204632.05
HDFC Flexi Cap Fund,Equity Scheme,Flexi Cap Fund,Growth,97451.5631,0.67,22.125,2.97,31.78491962,44.24200047,61.13457712,0.88738499,0.0988,12.54736388,18.28693818,13.25,875808.5306
HDFC Flexi Cap Fund,Equity Scheme,Flexi Cap Fund,IDCW,97451.5631,0.67,22.125,2.97,31.78491962,44.24200047,61.13457712,0.881035187,0.0981,12.54736388,6.58403629,13.25,875773.3176
HDFC Mid Cap Fund,Equity Scheme,Mid Cap Fund,Growth,92186.8675,0.74,26.4908,3.49,14.76978605,22.4044825,36.77925297,1.025493208,0.1054,14.48069448,19.79515761,13.25,828886.4555
HDFC Mid Cap Fund,Equity Scheme,Mid Cap Fund,IDCW,92186.8675,0.74,26.4908,3.49,14.76978605,22.4044825,36.77925297,1.023905757,0.1052,14.48069448,10.73848196,13.25,828859.2591
ICICI Pru Large Cap Fund,Equity Scheme,Large Cap Fund,Growth,77451.58555,0.85,22.8448,3.42,24.91601026,35.73373289,55.26274484,0.688953641,0.0775,11.76201976,15.93998314,13.25,695965.87
ICICI Pru Large Cap Fund,Equity Scheme,Large Cap Fund,IDCW,77451.58555,0.85,22.8448,3.42,24.91601026,35.73373289,55.26274484,0.688953641,0.0775,11.76201976,9.710930954,13.25,695947.1829
Nippon India Small Cap Fund,Equity Scheme,Small Cap Fund,Growth,67641.5014,0.66,28.1935,3.44,7.184153364,10.17660882,16.41178029,0.369876033,0.0392,15.30194838,22.00640259,13.25,608277.2272
Nippon India Small Cap Fund,Equity Scheme,Small Cap Fund,IDCW,67641.5014,0.66,28.1935,3.44,7.184153364,10.17660882,16.41178029,0.369876033,0.0392,15.30194838,16.67020406,13.25,608261.2186
ICICI Pru Value Fund,Equity Scheme,Value Fund,Growth,60571.33672,0.96,17.1234,2.94,22.89366844,34.63645915,54.55463836,0.841348917,0.0953,12.7807808,17.09958112,13.25,544113.6094
Kotak Midcap Fund,Equity Scheme,Mid Cap Fund,Growth,59041.1342,0.38,29.39,4.36,12.0541934,17.7376357,29.44789431,1.020730856,0.1082,14.48069448,20.04975746,13.25,530669.7906
Kotak Midcap Fund,Equity Scheme,Mid Cap Fund,IDCW,59041.1342,0.38,29.39,4.36,12.0541934,17.7376357,29.44789431,1.020730856,0.1082,14.48069448,16.89759131,13.25,530660.3341
Kotak Flexicap Fund,Equity Scheme,Flexi Cap Fund,Growth,56478.6518,0.59,25.9278,3.43,18.13700783,26.55834377,43.36393526,0.960407726,0.1058,12.54736388,15.89339178,13.25,507409.9527
Kotak Flexicap Fund,Equity Scheme,Flexi Cap Fund,IDCW,56478.6518,0.59,25.9278,3.43,18.13700783,26.55834377,43.36393526,0.960407726,0.1058,12.54736388,12.66432048,13.25,507400.2655
SBI Large Cap Fund,Equity Scheme,Large Cap Fund,Growth,55246.1886,0.8,28.9142,3.94,20.92069026,30.80718224,48.98275372,0.66672933,0.0729,11.76201976,13.92857111,13.25,496186.7592
SBI Large Cap Fund,Equity Scheme,Large Cap Fund,IDCW,55246.1886,0.8,28.9142,3.94,20.92069026,30.80718224,48.98275372,0.66672933,0.0729,11.76201976,13.31833285,13.25,496184.9285
Nippon India Large Cap Fund,Equity Scheme,Large Cap Fund,Growth,51403.7963,0.66,26.4335,3.83,21.14183655,29.58871385,44.76303823,0.709590502,0.0795,11.76201976,16.49142976,13.25,461674.637
Nippon India Large Cap Fund,Equity Scheme,Large Cap Fund,IDCW,51403.7963,0.66,26.4335,3.83,21.14183655,29.58871385,44.76303823,0.709590502,0.0795,11.76201976,9.785822153,13.25,461654.5201
Nippon India Multi Cap Fund,Equity Scheme,Multi Cap Fund,Growth,50820.0115,0.72,31.6601,4.15,13.90668871,19.48936198,30.37070879,0.674666584,0.0725,13.36239406,17.07373518,13.25,456621.8109
Nippon India Multi Cap Fund,Equity Scheme,Multi Cap Fund,IDCW,50820.0115,0.72,31.6601,4.15,13.90668871,19.48936198,30.37070879,0.674666584,0.0725,13.36239406,9.361239777,13.25,456598.6734
SBI Contra Fund,Equity Scheme,Contra Fund,Growth,49111.4968,0.71,17.9412,2.43,23.08693226,29.46986254,42.04398694,0.554020325,0.0583,12.02344045,17.67420959,13.25,441118.5164
SBI Contra Fund,Equity Scheme,Contra Fund,IDCW,49111.4968,0.71,17.9412,2.43,23.08693226,29.46986254,42.04398694,0.554020325,0.0583,12.02344045,15.14150032,13.25,441110.9183
Nippon India Growth Mid Cap Fund,Equity Scheme,Mid Cap Fund,Growth,43982.5075,0.74,28.8839,3.97,8.95966788,13.80941388,24.46037778,1.046130068,0.1116,14.48069448,20.14782971,13.25,395242.3445
Nippon India Growth Mid Cap Fund,Equity Scheme,Mid Cap Fund,IDCW,43982.5075,0.74,28.8839,3.97,8.95966788,13.80941388,24.46037778,1.046130068,0.1116,14.48069448,10.07500947,13.25,395212.1261
SBI Focused Fund,Equity Scheme,Focused Fund,Growth,43310.5439,0.74,28.8073,4.29,26.89946408,38.05875594,59.20581062,1.147726919,0.1206,13.25564873,16.36474501,13.25,388578.8089
